"","ORIGEN","SECTOR","ENTIDAD_UM","SEXO","ENTIDAD_NAC","ENTIDAD_RES","MUNICIPIO_RES","TIPO_PACIENTE","FECHA_INGRESO","FECHA_SINTOMAS","FECHA_DEF","INTUBADO","NEUMONIA","EDAD","NACIONALIDAD","EMBARAZO","HABLA_LENGUA_INDIG","DIABETES","EPOC","ASMA","INMUSUPR","HIPERTENSION","OTRA_COM","CARDIOVASCULAR","OBESIDAD","RENAL_CRONICA","TABAQUISMO","OTRO_CASO","RESULTADO","MIGRANTE","PAIS_NACIONALIDAD","PAIS_ORIGEN","UCI"
"ORIGEN",0.231917875069074,0.296819127498619,-0.336386047843336,-0.00139034843708485,-0.251605336352292,-0.311943042192791,0.106350583716746,-0.0456207304049034,-0.0960738932674516,-0.129548045003094,-554.467238814231,4.33612710676497,0.0317987841586267,-0.625325896500869,0.000597420360938407,-0.154703872130086,0.21529299790854,0.059494537365157,0.0420006262309864,0.0421267862059078,0.0278919107660398,0.056507999555186,-0.0118366869476771,0.0400097441224961,0.0583418230346992,0.0457831600928458,0.0456720534355308,-1.9466082606031,0.0137678258977657,-0.0233608281946488,-0.01141335174646,-0.0119767503867119,4.33460747237579
"SECTOR",0.296819127498619,60.9697149860081,1.70034180308169,0.0214729004794288,1.70527559157501,1.50607273570147,13.4683591255268,-0.31494337165519,6.62823419872905,6.91178896855861,-3026.80069914927,29.9291340921482,0.130580626571969,-7.18413326675658,0.01046484532374,2.25231667025832,3.60078537890599,0.473907295412778,0.325809963886306,0.351277822641034,0.371245027564394,0.516187990264268,0.626264064487291,0.366983210094611,0.418608879190051,0.364970729097878,0.265779493785812,-101.348499927649,0.153394253639356,-0.674960292472896,-0.136277079289962,-0.168716334056059,29.938549179118
"ENTIDAD_UM",-0.336386047843336,1.70034180308169,63.8312040502027,0.0321689703200512,49.5286548967927,60.8698137233009,95.4695101742077,0.0317126870185169,6.38127307969993,6.85870102940502,510.515345603657,-3.05609193129858,0.0550552928888091,1.39727353465269,-0.00114869206689347,3.02599668637203,-3.56458942131541,-0.566518356746371,-0.592766804126236,-0.603556076178436,-0.846037706184942,-0.659741139323141,-0.928002125707698,-0.546651430000559,-0.600948302805305,-0.546388807938081,-0.320536527792379,-5.76085765374021,0.0925868028779713,-0.0417372864501824,0.0972167437908068,-0.0763062237015621,-3.08804965057594
"SEXO",-0.00139034843708485,0.0214729004794288,0.0321689703200512,0.249888103623175,0.0883625484066052,0.0348613214563824,0.117791440311278,0.0216704721936478,0.0629847115637707,0.0452755151318657,323.803151271468,-2.06106928378543,-0.0165659456031562,0.296269981402196,0.000399356565865946,23.6422802832229,0.111689648624907,0.0346305971698932,0.0402073188404025,0.0416197276741674,0.0356072013895567,0.0348922602993114,0.0518360668813285,0.0350459699098471,0.0404549510585475,0.0361297812087612,0.0245947290901748,-0.207268887647038,-0.0165507134264365,-0.0268083039390784,-0.00483520232322176,-0.00619868361372165,-2.06118314603498
"ENTIDAD_NAC",-0.251605336352292,1.70527559157501,49.5286548967927,0.0883625484066052,112.270003121977,49.0268612334652,72.4757770626936,0.0621212367404778,-5.57690807313945,-5.50746917727003,1346.36284297945,-5.90176095165238,0.0134683554118048,3.11750524944216,0.598462188439564,8.24236619100728,-2.97525787014908,-0.476400621911656,-0.489971259263278,-0.497995299287389,-0.689903224702574,-0.572806650859934,-0.758406281048795,-0.474972913981807,-0.472519865232748,-0.456308690889972,-0.264919665322739,-9.81589039820298,0.0331653584323132,-35.9380081168528,-9.67103578084512,-7.38980544363482,-5.93238151097621
"ENTIDAD_RES",-0.311943042192791,1.50607273570147,60.8698137233009,0.0348613214563824,49.0268612334652,62.282279996163,103.578283149292,0.041654201333403,6.44862280628573,6.80116896434045,448.385829448453,-4.00091553208089,0.0436329982099559,1.45045764268319,-0.00308929300520536,3.31649662885674,-3.65442597872653,-0.628666978641464,-0.636273356102864,-0.643141673778105,-0.886090969920892,-0.707234861129766,-0.967418720875893,-0.607133874554638,-0.668594792483535,-0.586788221792418,-0.362927701716767,-5.46518628153054,0.0624716130471986,0.0754848851888425,0.128007060612609,-0.046368699542451,-4.03244728266819
"MUNICIPIO_RES",0.106350583716746,13.4683591255268,95.4695101742077,0.117791440311278,72.4757770626936,103.578283149292,2301.43286050423,0.917673001119525,23.2561084654201,26.5920749996143,1248.11485372788,-87.1986797445996,-0.553764120427302,5.516689586241,-0.0185728770543615,9.26552201849533,-14.4613632163168,-0.144143202131081,-0.13996750593569,-0.165082963327845,-0.681298209308754,0.0919515394072954,1.70199776653466,0.480286376563599,0.632389228378472,-0.150475969854865,-0.204168621519377,34.8158543756655,0.453674858094427,2.01771948379387,0.166002023798543,0.0108300057571274,-87.2866465826957
"TIPO_PACIENTE",-0.0456207304049034,-0.31494337165519,0.0317126870185169,0.0216704721936478,0.0621212367404778,0.041654201333403,0.917673001119525,0.179530669621987,-0.691481307684129,-0.730074008457657,1534.60520471468,-17.0576545479904,-0.103214256969969,2.20142721917634,-0.000624574394607686,2.04765380677884,-0.150083155937444,0.0354871001666927,0.0570816153433004,0.0664217069185605,0.07172879819016,0.0289521265860362,0.115104483925788,0.0675833659044573,0.0717892835387907,0.0577429108190105,0.0650905055592549,4.14175041884443,-0.0390284883783758,0.0372257085448733,0.0104615789183471,0.00808047314215575,-17.0587932976188
"FECHA_INGRESO",-0.0960738932674516,6.62823419872905,6.38127307969993,0.0629847115637707,-5.57690807313945,6.44862280628573,23.2561084654201,-0.691481307684129,416.688344343481,414.961430498453,-13115.4310811551,65.6770005410007,0.341280472243387,11.7204388168316,-0.11245863420309,5.91228621894461,15.0805101835137,-0.46993563476236,-0.703565714213017,-0.864333671506022,-0.58246805983482,-0.618705173486038,-0.264319833326708,-0.685768581941839,-0.762320969803453,-0.798517907737092,-0.440213749823855,-108.575079220926,2.28805150714354,0.450978201428168,1.9155970486198,0.122174457375608,65.6537502864136
"FECHA_SINTOMAS",-0.129548045003094,6.91178896855861,6.85870102940502,0.0452755151318657,-5.50746917727003,6.80116896434045,26.5920749996143,-0.730074008457657,414.961430498453,423.799404341956,-14188.2881353417,69.3518759446075,0.450198915239196,8.03874638030061,-0.111965345774066,4.34606262753577,15.3758492652712,-0.36377816146892,-0.630350546657947,-0.782255689217655,-0.504470781879689,-0.500800970542606,-0.189779719021115,-0.629980717097099,-0.723478830105382,-0.747071461946493,-0.376825808578872,-110.054580170506,2.48227875925849,0.253616750550984,1.91178385102019,0.0802813267175802,69.3284518595687
